PuzzleId,FEN,Moves,Rating,Themes,OpeningTags
pWsHD,1k6/pp4pp/4p1q1/2B5/8/5R2/PPP2PPP/6K1 b - - 0 27,g6c2 c5d6 b8c8 f3c3 c2c3 b2c3,1677,crushing endgame fork long,
bwpzD,3r1r2/ppp3k1/4Q3/2q1pp2/2P5/P2P1R1P/1Pn1K1P1/7R b - - 2 22,e5e4 f3g3 g7h7 e6g6 h7h8 g6h5,1357,exposedKing long mate mateIn3 middlegame,
DmTHq,5k2/p4n1p/1pq2nr1/2p5/8/1P1Q2P1/PBP2PP1/4R1K1 b - - 0 27,c6d5 b2f6 d5d3 f6e7 f8g8 c2d3,1724,advantage exposedKing intermezzo long middlegame sacrifice,
e8aKk,r4rk1/1b1p1p1p/pp5p/2p1Qpq1/P1B5/2NP2P1/1PP4P/5RK1 b - - 0 18,f8e8 c4f7 g8f7 f1f5 g5f5 e5f5,1709,advantage attraction fork long middlegame,Sicilian_Defense Sicilian_Defense_Closed
000Zo,4r3/1k6/pp3r2/1b2P2p/3R1p2/P1R2P2/1P4PP/6K1 w - - 0 35,e5f6 e8e1 g1f2 e1f1,1376,endgame mate mateIn2 operaMate short,
jQnpr,1b1r1rk1/1pq1n1p1/4p2p/4N2n/PPN1P3/2P2P1P/4Q1PB/R4R1K w - - 1 26,e5g4 c7h2 g4h2 h5g3 h1g1 g3e2,1851,advantage fork long middlegame sacrifice,
Qv8nz,r1q2Nk1/pp2p2p/2n3p1/8/Q2b1p2/7P/PPP3PK/R4R2 w - - 0 21,a4c4 g8f8 f1f4 d4f6,1502,advantage master middlegame short,
yQMdM,1r3rk1/p2b2p1/2p5/5p1Q/2B2P2/1P5P/P1P2qP1/7K b - - 1 24,f8f7 h5f7 g8h8 f7h5,1610,endgame fork mate mateIn2 short,
WW4xQ,r4bk1/pppq1p1p/3p1B2/8/2BQ3P/4R3/PPb3P1/6K1 b - - 0 19,a8e8 e3g3 c2g6 h4h5,1665,advantage middlegame pin short,
aloVm,1r3k1r/4bp1p/R3bq1P/1ppQ4/2B3p1/1PN1P3/3PKPP1/7R w - - 1 23,a6e6 f7e6 d5e6 b5c4,1922,advantage master masterVsMaster middlegame short,
002Tf,r3kbnr/ppp1qppp/2n5/3pP3/5B2/4PQ2/PPP2PPP/RN2KB1R w KQkq - 1 7,f1b5 e7b4 b1c3 b4b2,1564,advantage fork opening short,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation
rd2zc,rn1qk2r/1pp2pp1/p3pnp1/8/1b1PPB2/2NB4/PPPQ2PP/R3K2R b KQkq - 3 11,d8d4 d3b5 a6b5 d2d4,1265,middlegame,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
aWh3Q,8/2r5/2p4R/1pP1bkp1/1P6/4PK2/8/1N6 b - - 0 42,c7c8 e3e4,938,endgame mate mateIn1 oneMove,
F4jYs,2rr4/1p4k1/1q2n2p/6p1/1P1bR3/1Q4PN/5P1P/3R2K1 b - - 0 31,e6c5 e4e7 g7h8 b3f7 d4f2 h3f2,1577,crushing long middlegame quietMove,
QYDal,r4rk1/p5pp/2p1R1n1/4p3/4P1n1/2q2N1P/P1P1QPP1/3R2K1 w - - 0 20,h3g4 g6f4 e2e1 c3e1 d1e1 f4e6,1656,advantage fork long middlegame,
TnUOP,1k1r3r/pp1bq1pp/4p2n/1N1pP3/8/1Q2P3/PP2B1PP/R4RK1 b - - 2 16,h6f7 f1f7 e7f7 b5d6,1757,crushing middlegame sacrifice short,Slav_Defense Slav_Defense_Exchange_Variation
wb0BT,r2qr1k1/pp3pp1/2pbb2p/8/3PQ3/1B5P/PPP2PP1/R1B1R1K1 w - - 1 16,e4d3 e6b3 e1e8 d8e8,1743,advantage middlegame short,Petrovs_Defense Petrovs_Defense_Italian_Variation
msDBl,r1b1k2r/pppnqpp1/2n1p2p/1N1pP3/3P4/3B1N2/PPPQ1PP1/R3K2R b KQkq - 3 11,a7a6 b5c7 e8d8 c7a8,922,advantage fork middlegame short,French_Defense French_Defense_Alekhine-Chatard_Attack
